item,supplier,unit_cost_eur_net,qty,phase,mass_kg,link,description
M6 nuts for Ø8/M6 shoulder screws - ankle gimbal + pushrod pivots,Amazon / AliExpress,0.2,6,Phase 1,,https://www.amazon.it/Acciaio-Controdado-Esagonale-Inserto-Autobloccante/dp/B0C8ZCR6B1,"Six standard M6 nuts for the selected Ø8/M6 shoulder screws: 2 nuts for the 45 mm ankle gimbal screws and 4 nuts for the 16 mm pushrod rod-end pivot screws. Geometry to reserve in CAD: M6 hex across flats 10 mm, circumscribed hex diameter about 11.55 mm; normal M6 locknut height is about 6 mm."
AliExpress adjustable aluminum M8 pushrod - 140 mm ankle link,AliExpress,7,2,Phase 1,0.048,https://it.aliexpress.com/item/1005008935554718.html,"Adjustable aluminum M8 pushrod/link for the parallel/differential ankle. Selected long variant: 140 mm. CAD body mass estimate: 23.8 g each, excluding the separately listed igubal ends and M8 jam nuts."
AliExpress adjustable aluminum M8 pushrod - 40 mm ankle link,AliExpress,7,2,Phase 1,0.014,https://it.aliexpress.com/item/1005008935554718.html,"Adjustable aluminum M8 pushrod/link for the parallel/differential ankle. Selected short variant: 40 mm. CAD body mass estimate: 6.8 g each, excluding the separately listed igubal ends and M8 jam nuts."
"igus igubal KARM-08 CL / KARM_08_CL_1 - M8 right-hand male rod end, Ø8 bore, ±35°",igus,0,2,Phase 1,0.012,https://www.igus.com/product?artNr=KARM-08-CL,"Selected right-hand spherical rod ends for the ankle pushrods: igus igubal KARM-08 CL, model KARM_08_CL_1, male M8 right-hand thread, Ø8 E10 ball bore for the Ø8/M6 shoulder screws, pivot angle ±35°, weight 6.2 g each."
"igus igubal KALM-08 CL - M8 left-hand male rod end, Ø8 bore, ±35°",igus / ERIKS,0,2,Phase 1,0.012,https://shop.eriks.de/de/waelzlager-gelenklager-und-gelenkkoepfe-gelenkkoepfe/gelenkkopf-wartungsfrei-igumid-g-iglidur-j-aussengewinde-links-serie-kalm-cl-j-pr2079035551789/,"Selected left-hand spherical rod ends for the ankle pushrods: igus igubal KALM-08 CL family, male M8 left-hand thread, Ø8 E10 ball bore for the Ø8/M6 shoulder screws, target pivot angle ±35° matching the KARM-08 CL geometry."
"DIN 439 M8 thin jam nut, right-hand thread - pushrod length lock",Accu / Fabory,0.5,2,Phase 1,0.004,https://www.accu.co.uk/thin-hexagon-nuts/73062-HFN-M8-A2,"Thin right-hand jam nuts for locking the two KARM-08 right-hand rod ends after pushrod length adjustment. Standard DIN 439 / ISO 4035 M8 x 1.25 geometry: height along thread 4.0 mm, across flats 13 mm, circumscribed hex diameter about 15.0 mm."
"DIN 439 M8 thin jam nut, left-hand thread - pushrod length lock",Accu / Fabory,0.5,2,Phase 1,0.004,https://accu-components.com/us/left-hand-thread-hex-jam-nuts/73142-HFNL-M8-A2,"Thin left-hand jam nuts for locking the two KALM-08 left-hand rod ends after pushrod length adjustment. Standard DIN 439 / ISO 4035 M8 x 1.25 left-hand geometry: height along thread 4.0 mm, across flats 13 mm, circumscribed hex diameter about 15.0 mm."
AliExpress black shoulder screw Ø8 x M6 x 45 mm - ankle gimbal pitch/roll axes,AliExpress,2,2,Phase 1,,https://it.aliexpress.com/item/1005007885495357.html,"Selected shoulder screws for the ankle offset gimbal: Ø8 mm shoulder diameter, M6 thread, 45 mm shoulder length. Use two screws stacked in Z: higher screw = pitch axis, lower screw = roll axis."
AliExpress black shoulder screw Ø8 x M6 x 16 mm - pushrod rod-end pivots,AliExpress,2,4,Phase 1,,https://it.aliexpress.com/item/1005007885495357.html,"Selected shoulder screws for the M8 pushrod rod-end pivots: Ø8 mm shoulder diameter, M6 thread, 16 mm shoulder length. The Ø8 shoulder passes through the rod-end spherical bearing."
Heat-set brass threaded inserts M3/M4/M5,Prusa / VXB,25,1,Phase 1,,https://www.prusa3d.com/product/threaded-inserts-m4-short-50-pcs/,Reusable threads for PA-CF printed parts.
"M3/M4/M5 screw, nut and washer assortment",Amazon,35,1,Phase 1,,https://www.amazon.it/SANTOO-Acciaio-Esagonale-Assortimento-Fissaggio/dp/B07RV2SFX6,"General hardware for motors, brackets and covers."
"ISO 4762 socket-head cap screw M3 x 10 mm, steel, full thread",MISUMI / Würth / RS,0.04,8,Phase 1,,https://it.misumi-ec.com/vona2/detail/110302217940/?HissuCode=CB3-10,Eight installed on the two RS05 neck actuators: four per actuator. Thread length is 10 mm; the socket head is not included in this length.
"ISO 4762 socket-head cap screw M3 x 15 mm, steel, full thread",MISUMI / Würth / RS,0.05,184,Phase 1,,https://it.misumi-ec.com/vona2/detail/110302217940/?HissuCode=CB3-15,Installed motor fasteners: 8 per RS06 x 11 actuators plus 12 per RS00 x 8 actuators = 184 screws. Thread length is 15 mm; head excluded.
"ISO 4762 socket-head cap screw M4 x 15 mm, steel, full thread",MISUMI / Würth / RS,0.06,201,Phase 1,,https://it.misumi-ec.com/vona2/detail/110302217940/?HissuCode=CB4-15,Installed motor fasteners: 6 per RS06 x 11 actuators + 15 per RS04 x 6 actuators + 15 per RS03 x 3 actuators = 201 screws. Thread length is 15 mm; head excluded.
"ISO 4762 socket-head cap screw M4 x 20 mm, steel, full thread",MISUMI / Würth / RS,0.07,12,Phase 1,,https://it.misumi-ec.com/vona2/detail/110302217940/?HissuCode=CB4-20,"Six installed on each RS05 neck actuator, two actuators total. Thread length is 20 mm; head excluded."
Loctite 243 medium-strength threadlocker,Amazon,10,1,Phase 1,,https://www.amazon.it/Loctite-243-Frenafiletti-resistenza-azione/dp/B003ZUXQIA,Threadlocker for screws exposed to vibration.
RobStride 04 - legs: hip pitch/roll + knee (3/leg),Seeed / RobStride,235,6,Phase 2,8.716,https://www.seeedstudio.com/Robostride-04-Actuator-p-6775.html,"Axes: hip pitch/roll + knee, 3 per leg. RobStride PDF 2025-06-26 dimensions: OD 120 mm, length 56 mm. Weight: 1.420 kg. RobStride torque: 40 Nm rated, 120 Nm peak."
RobStride 03 - leg hip yaw (1/leg),Seeed / RobStride,214,2,Phase 2,1.825,https://www.seeedstudio.com/Robostride-03-Actuator-p-6774.html,"Axis: hip yaw, 1 per leg. RobStride PDF 2025-06-26 dimensions: OD 98 mm, length 54.1 mm. Weight: 0.900 kg. RobStride torque: 20 Nm rated, 60 Nm peak."
RobStride 06 - ankle pushrod/differential drive A/B (2/leg),Seeed / RobStride,200,4,Phase 2,2.572,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Physical ankle actuators A/B: 2 motors per leg in the shin, acting through two pushrods. Do not label them as direct pitch/roll motors in CAD: virtual pitch and roll come from geometry and the A/B mixing map. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 06 - G1 waist yaw,Seeed / RobStride,200,1,Phase 3,0.643,https://www.seeedstudio.com/Robostride-06-Actuator-p-6668.html,"Axis: waist yaw, vertical motor mounted above the lower waist-roll stage and rotating the torso/yaw assembly. RobStride PDF 2025-06-26 dimensions: OD 88 mm, length 49 mm. Weight: 0.621 kg. RobStride torque: 11 Nm rated, 36 Nm peak."
RobStride 03 - direct serial waist roll below yaw,Seeed / RobStride,210,1,Phase 3,0.913,https://www.seeedstudio.com/Robostride-03-Actuator-p-6774.html,"Axis: waist roll, direct front-back axis mounted below the yaw joint. RobStride PDF 2025-06-26 dimensions: OD 98 mm, length 54.1 mm. Weight: 0.900 kg. RobStride torque: 20 Nm rated, 60 Nm peak."
